Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/10956807,2.0,4,2008.0,5.0,8.0,1.0,0.0,0.0,4.0,111.0,0.0,2.0,13.0,8370,399000,10956807,0,0,0.0,0.0,3.0,11,0.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-rent/waterloo/1410/10956598,4.0,6,1970.0,24.0,8.0,0.0,1.0,2519.0,4.0,425.0,0.0,4.0,11.0,1410,5500,10956598,4,1,0.0,0.0,3.0,23,2519.0,0.0,1.0,5.0,1,1
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/10956216,1.0,3,0.0,6.0,8.0,0.0,0.0,0.0,5.0,200.0,200.0,2.0,13.0,1050,2700,10956216,3,2,6.0,2.0,3.0,0,0.0,0.0,1.0,3.0,2,1
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10955806,2.0,0,1950.0,6.0,8.0,0.0,1.0,100.0,2.0,200.0,0.0,2.0,7.0,1180,675000,10955806,3,2,0.0,0.0,3.0,1,178.0,0.0,0.0,3.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10955726,1.0,0,2015.0,17.0,8.0,1.0,0.0,0.0,6.0,17.0,0.0,0.0,14.0,3000,155000,10955726,6,0,0.0,1.0,3.0,12,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-borgerhout/2140/10955579,1.0,2,0.0,1.0,8.0,0.0,0.0,0.0,4.0,93.0,0.0,0.0,11.0,2140,251000,10955579,5,0,0.0,0.0,4.0,10,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/aarschot-rillaar/3202/10955698,2.0,0,1935.0,17.0,8.0,0.0,0.0,0.0,4.0,917.0,0.0,2.0,3.0,3202,695000,10955698,6,0,0.0,2.0,0.0,16,692.0,0.0,1.0,4.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/10955578,1.0,2,0.0,1.0,8.0,0.0,0.0,0.0,4.0,93.0,0.0,0.0,11.0,2018,251000,10955578,5,0,0.0,0.0,4.0,10,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/10955486,2.0,4,0.0,18.0,8.0,0.0,1.0,97.0,0.0,144.0,0.0,2.0,10.0,4000,215000,10955486,9,1,14.0,1.0,3.0,11,184.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/10955081,2.0,3,1990.0,38.0,8.0,0.0,0.0,0.0,4.0,170.0,0.0,0.0,13.0,8660,749000,10955081,0,0,12.0,0.0,3.0,0,0.0,0.0,0.0,1.0,2,0
